Name	Type	File	Tempo Offset	Min Var
Cello C2	String	cello/cello_C2_1_forte_arco-normal.wav	0	0
Cello C3	String	cello/cello_C3_1_forte_arco-normal.wav	0	0
Cello C4	String	cello/cello_C4_1_forte_arco-normal.wav	0	0
Cello C5	String	cello/cello_C5_1_forte_arco-normal.wav	0	0
Cello C6	String	cello/cello_C6_1_forte_arco-normal.wav	0	0
Guitar E2	Percussion	guitar/guitar_E2_very-long_forte_normal.wav	0	0
Guitar E3	Percussion	guitar/guitar_E3_very-long_forte_normal.wav	0	0
Guitar E4	Percussion	guitar/guitar_E4_very-long_forte_normal.wav	0	0
Guitar E5	Percussion	guitar/guitar_E5_very-long_forte_normal.wav	0	0
Trombone G2	Brass	trombone/trombone_G2_1_forte_normal.wav	0	0
Trombone G3	Brass	trombone/trombone_G3_1_forte_normal.wav	0	0
Trombone G4	Brass	trombone/trombone_G4_1_forte_normal.wav	0	0
Trombone G5	Brass	trombone/trombone_G5_1_forte_normal.wav	0	0
Flute B4	Wind	flute/flute_B4_1_forte_normal.wav	0	0
Flute B5	Wind	flute/flute_B5_1_forte_normal.wav	0	0
Flute B6	Wind	flute/flute_B6_1_forte_normal.wav	0	0
